,Quantity,Price Per Unit,Total Spent,is_imputed,year,month,day,weekday,is_weekend,Total Spent Log,Item_Coffee,Item_Cookie,Item_Juice,Item_Salad,Item_Sandwich,Item_Smoothie,Item_Tea,Item_Other,Payment Method_Credit Card,Payment Method_Digital Wallet,Payment Method_Not Recorded,Location_Takeaway,Location_Not Recorded,season_Spring,season_Summer,season_Winter
0,2,2.0,4.0,False,2023,9,8,4,0,1.6094379124341003,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1,4,3.0,12.0,False,2023,5,16,1,0,2.5649493574615367,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,4,1.0,4.0,False,2023,7,19,2,0,1.6094379124341003,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
3,2,5.0,10.0,False,2023,4,27,3,0,2.3978952727983707,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False
4,2,2.0,4.0,False,2023,6,11,6,1,1.6094379124341003,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
5,5,4.0,20.0,False,2023,3,31,4,0,3.044522437723423,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False
6,3,3.0,9.0,False,2023,10,6,4,0,2.302585092994046,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
7,4,4.0,16.0,False,2023,10,28,5,1,2.833213344056216,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
8,5,3.0,15.0,False,2023,7,28,4,0,2.772588722239781,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False
9,5,4.0,20.0,False,2023,12,31,6,1,3.044522437723423,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
10,2,4.0,8.0,False,2023,5,3,2,0,2.1972245773362196,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
11,5,1.0,5.0,False,2023,6,1,3,0,1.791759469228055,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False
12,2,1.5,3.0,False,2023,3,21,1,0,1.3862943611198906,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
13,3,5.0,15.0,False,2023,11,15,2,0,2.772588722239781,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
14,1,4.0,4.0,False,2023,6,10,5,1,1.6094379124341003,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
